epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.29176,1.07391,0.58065,1,0.94141,0.00038583,0.00038583,0.00038583
2,9.9448,0.85313,0.69355,1,0.74207,0.000776224,0.000776224,0.000776224
3,11.651,0.65045,0.79032,1,0.61273,0.00115671,0.00115671,0.00115671
4,13.3216,0.52697,0.78226,1,0.59338,0.00137595,0.00137595,0.00137595
5,14.9868,0.41695,0.79032,1,0.55328,0.00135826,0.00135826,0.00135826
6,16.6116,0.41767,0.79032,1,0.59924,0.00134058,0.00134058,0.00134058
7,18.2739,0.4207,0.75,1,0.63904,0.0013229,0.0013229,0.0013229
8,19.8438,0.33499,0.77419,1,0.68982,0.00130521,0.00130521,0.00130521
9,21.4227,0.32869,0.79032,1,0.65213,0.00128753,0.00128753,0.00128753
10,23.0592,0.31757,0.79839,1,0.61517,0.00126985,0.00126985,0.00126985
11,24.6192,0.31219,0.77419,1,0.55927,0.00125216,0.00125216,0.00125216
12,26.2038,0.28772,0.82258,1,0.53296,0.00123448,0.00123448,0.00123448
13,27.7856,0.21565,0.83065,1,0.56125,0.00121679,0.00121679,0.00121679
14,29.3402,0.26853,0.78226,1,0.61047,0.00119911,0.00119911,0.00119911
15,31.1911,0.20271,0.84677,1,0.58386,0.00118143,0.00118143,0.00118143
16,32.8055,0.24211,0.82258,1,0.65302,0.00116374,0.00116374,0.00116374
17,34.4225,0.20599,0.82258,1,0.51831,0.00114606,0.00114606,0.00114606
18,36.1056,0.23118,0.82258,1,0.54865,0.00112837,0.00112837,0.00112837
19,37.6683,0.22094,0.81452,1,0.69604,0.00111069,0.00111069,0.00111069
20,39.3922,0.18222,0.83871,1,0.58862,0.00109301,0.00109301,0.00109301
21,41.0301,0.20133,0.80645,1,0.6156,0.00107532,0.00107532,0.00107532
22,42.6586,0.2049,0.82258,1,0.5799,0.00105764,0.00105764,0.00105764
23,44.2173,0.18329,0.79839,1,0.70685,0.00103995,0.00103995,0.00103995
24,45.8149,0.16035,0.83065,1,0.64996,0.00102227,0.00102227,0.00102227
25,47.4747,0.15368,0.82258,1,0.59863,0.00100459,0.00100459,0.00100459
26,49.0929,0.12501,0.83065,1,0.61359,0.000986903,0.000986903,0.000986903
27,50.7438,0.1761,0.84677,1,0.59039,0.000969219,0.000969219,0.000969219
28,52.3349,0.1168,0.79839,1,0.68506,0.000951535,0.000951535,0.000951535
29,53.9024,0.15643,0.83065,1,0.70081,0.000933851,0.000933851,0.000933851
30,55.5102,0.12613,0.82258,1,0.7226,0.000916168,0.000916168,0.000916168
31,57.1113,0.13023,0.79032,1,0.73914,0.000898484,0.000898484,0.000898484
32,58.7402,0.11314,0.82258,1,0.58173,0.0008808,0.0008808,0.0008808
33,60.3685,0.1351,0.81452,1,0.60748,0.000863116,0.000863116,0.000863116
34,61.9348,0.12535,0.85484,1,0.59393,0.000845432,0.000845432,0.000845432
35,63.4974,0.15425,0.84677,1,0.57019,0.000827748,0.000827748,0.000827748
36,65.1562,0.13687,0.83871,1,0.56897,0.000810064,0.000810064,0.000810064
37,66.7309,0.10229,0.82258,1,0.5676,0.00079238,0.00079238,0.00079238
38,68.3472,0.0982,0.78226,1,0.68512,0.000774697,0.000774697,0.000774697
39,69.8818,0.09606,0.78226,1,0.73987,0.000757013,0.000757013,0.000757013
40,71.4684,0.13606,0.79032,1,0.73901,0.000739329,0.000739329,0.000739329
41,73.0539,0.07244,0.79032,1,0.72717,0.000721645,0.000721645,0.000721645
42,74.5658,0.05703,0.83871,1,0.69739,0.000703961,0.000703961,0.000703961
43,76.2161,0.05684,0.83065,1,0.71185,0.000686277,0.000686277,0.000686277
44,77.7539,0.08525,0.84677,1,0.69556,0.000668593,0.000668593,0.000668593
45,79.3544,0.14,0.83065,1,0.66461,0.000650909,0.000650909,0.000650909
46,80.8841,0.0887,0.81452,1,0.75714,0.000633226,0.000633226,0.000633226
47,82.4762,0.08399,0.85484,1,0.71429,0.000615542,0.000615542,0.000615542
48,84.0434,0.07612,0.85484,1,0.72009,0.000597858,0.000597858,0.000597858
49,85.5885,0.10645,0.82258,1,0.72034,0.000580174,0.000580174,0.000580174
50,87.1499,0.09546,0.83871,1,0.71997,0.00056249,0.00056249,0.00056249
51,88.67,0.094,0.83871,1,0.69376,0.000544806,0.000544806,0.000544806
52,90.311,0.09314,0.81452,1,0.73865,0.000527122,0.000527122,0.000527122
53,91.9242,0.07331,0.83065,1,0.67493,0.000509438,0.000509438,0.000509438
54,93.5122,0.08186,0.83871,1,0.65625,0.000491755,0.000491755,0.000491755
55,95.1051,0.09322,0.85484,1,0.63086,0.000474071,0.000474071,0.000474071
56,96.763,0.06664,0.8629,1,0.58936,0.000456387,0.000456387,0.000456387
57,98.4329,0.07435,0.8629,1,0.60669,0.000438703,0.000438703,0.000438703
58,100.047,0.07842,0.85484,1,0.61432,0.000421019,0.000421019,0.000421019
59,101.68,0.07603,0.85484,1,0.59442,0.000403335,0.000403335,0.000403335
60,103.206,0.04822,0.83871,1,0.62109,0.000385651,0.000385651,0.000385651
