epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
61,104.818,0.07451,0.83065,1,0.63739,0.000367967,0.000367967,0.000367967
62,106.371,0.05158,0.83871,1,0.61005,0.000350284,0.000350284,0.000350284
63,108.019,0.0568,0.85484,1,0.64267,0.0003326,0.0003326,0.0003326
64,109.571,0.06763,0.85484,1,0.60187,0.000314916,0.000314916,0.000314916
65,111.161,0.08379,0.83871,1,0.62793,0.000297232,0.000297232,0.000297232
66,112.742,0.04678,0.84677,1,0.62024,0.000279548,0.000279548,0.000279548
67,114.386,0.05629,0.84677,1,0.62817,0.000261864,0.000261864,0.000261864
68,115.983,0.04732,0.85484,1,0.62286,0.00024418,0.00024418,0.00024418
69,117.602,0.06875,0.84677,1,0.62817,0.000226497,0.000226497,0.000226497
70,119.197,0.06343,0.83871,1,0.67432,0.000208813,0.000208813,0.000208813
71,166.194,0.09195,0.83065,1,0.70001,0.000191129,0.000191129,0.000191129
72,167.798,0.06073,0.8629,1,0.65692,0.000173445,0.000173445,0.000173445
73,169.354,0.07637,0.85484,1,0.65009,0.000155761,0.000155761,0.000155761
74,170.941,0.0463,0.85484,1,0.66132,0.000138077,0.000138077,0.000138077
75,172.559,0.05433,0.8629,1,0.64771,0.000120393,0.000120393,0.000120393
76,174.204,0.03312,0.84677,1,0.64484,0.000102709,0.000102709,0.000102709
77,175.882,0.06167,0.8629,1,0.65448,8.50255e-05,8.50255e-05,8.50255e-05
78,177.526,0.06378,0.8629,1,0.65283,6.73416e-05,6.73416e-05,6.73416e-05
79,179.145,0.0422,0.85484,1,0.64124,4.96578e-05,4.96578e-05,4.96578e-05
80,180.766,0.0437,0.84677,1,0.64352,3.19739e-05,3.19739e-05,3.19739e-05
