epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,18.2403,0.81037,0.70766,1,0.72842,0.000474473,0.000474473,0.000474473
2,32.0166,0.4332,0.75806,1,0.63062,0.00093904,0.00093904,0.00093904
3,44.6032,0.37624,0.78427,1,0.66855,0.00139182,0.00139182,0.00139182
4,57.0655,0.35252,0.78831,1,0.61993,0.00137595,0.00137595,0.00137595
5,69.3236,0.28471,0.79839,1,0.65826,0.00135826,0.00135826,0.00135826
6,81.5242,0.25439,0.79234,1,0.72255,0.00134058,0.00134058,0.00134058
7,93.7964,0.19682,0.80242,1,0.69252,0.0013229,0.0013229,0.0013229
8,106.221,0.18209,0.79234,1,0.84422,0.00130521,0.00130521,0.00130521
9,118.568,0.18805,0.83266,1,0.61526,0.00128753,0.00128753,0.00128753
10,131.059,0.17069,0.82258,1,0.6084,0.00126985,0.00126985,0.00126985
11,143.717,0.15319,0.80645,1,0.7025,0.00125216,0.00125216,0.00125216
12,156.056,0.13044,0.8125,1,0.70938,0.00123448,0.00123448,0.00123448
13,168.471,0.13137,0.79435,1,0.86749,0.00121679,0.00121679,0.00121679
14,180.876,0.11679,0.83468,1,0.79874,0.00119911,0.00119911,0.00119911
15,193.297,0.11436,0.84073,1,0.68431,0.00118143,0.00118143,0.00118143
16,205.92,0.11461,0.83669,1,0.72622,0.00116374,0.00116374,0.00116374
17,218.52,0.09495,0.83669,1,0.66047,0.00114606,0.00114606,0.00114606
18,230.873,0.1078,0.84274,1,0.70792,0.00112837,0.00112837,0.00112837
19,243.117,0.09002,0.84073,1,0.70456,0.00111069,0.00111069,0.00111069
20,255.419,0.10308,0.84476,1,0.57118,0.00109301,0.00109301,0.00109301
21,267.816,0.08907,0.83669,1,0.673,0.00107532,0.00107532,0.00107532
22,280.163,0.08009,0.83266,1,0.66244,0.00105764,0.00105764,0.00105764
23,292.517,0.07422,0.83266,1,0.72163,0.00103995,0.00103995,0.00103995
24,304.926,0.07503,0.84476,1,0.79931,0.00102227,0.00102227,0.00102227
25,317.185,0.08345,0.82863,1,0.7097,0.00100459,0.00100459,0.00100459
26,329.308,0.07203,0.82863,1,0.74464,0.000986903,0.000986903,0.000986903
27,341.834,0.07125,0.83669,1,0.73547,0.000969219,0.000969219,0.000969219
28,354.058,0.0592,0.82863,1,0.82809,0.000951535,0.000951535,0.000951535
29,366.288,0.07028,0.83266,1,0.84774,0.000933851,0.000933851,0.000933851
30,378.509,0.0573,0.84476,1,0.71949,0.000916168,0.000916168,0.000916168
31,390.742,0.06362,0.83468,1,0.81821,0.000898484,0.000898484,0.000898484
32,403.146,0.05559,0.83065,1,0.78465,0.0008808,0.0008808,0.0008808
33,415.436,0.0599,0.82863,1,0.77382,0.000863116,0.000863116,0.000863116
